what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1334608857781
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1334608857782
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1334608857785
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1334608857788
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1334608857790
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1334608857790
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1334608857792
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1334608857793
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1334608857796
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1334608857815
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1334608857820
os,sysinfo,,,"macosx",1334608857825
arch,sysinfo,,,"x86_64",1334608857825
ws,sysinfo,,,"cocoa",1334608857825
locale,sysinfo,,,"en_US",1334608857825
processors,sysinfo,,,"2",1334608857825
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334608857825
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1334608857825
java.specification.name,sysinfo,,,"Java Platform API Specification",1334608857825
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334608857825
java.specification.version,sysinfo,,,"1.6",1334608857825
java.vendor,sysinfo,,,"Apple Inc.",1334608857825
java.version,sysinfo,,,"1.6.0_29",1334608857825
java.vm.info,sysinfo,,,"mixed mode",1334608857825
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1334608857825
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334608857825
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334608857825
java.vm.specification.version,sysinfo,,,"1.0",1334608857825
java.vm.vendor,sysinfo,,,"Apple Inc.",1334608857825
java.vm.version,sysinfo,,,"20.4-b02-402",1334608857825
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1334608857883
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1334608857885
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1334608857974
