what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1335301447429
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1335301476820
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1335301476875
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1335301476879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301477577
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1335301477724
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301479411
started,bundle,org.tmatesoft.svnkit,1.3.5.7406,"org.tmatesoft.svnkit",1335301479715
started,bundle,com.sun.jna,3.2.7,"com.sun.jna",1335301479944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1335301480169
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1335301482067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335301483569
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1335301500499
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1335301502549
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1335301512762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301513552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301513756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335301583125
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1335301588136
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1335301592168
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1335301592535
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1335301592605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301617511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301621658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1335301627957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335301629628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335301652157
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1335301657208
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1335301659660
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1335301659688
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301660955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301662336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335301675051
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1335301676010
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1335301676011
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1335301680134
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1335301693027
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1335301693169
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1335301693172
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1335301693182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301700876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301701108
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1335301719595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335301720972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335301728072
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1335301729372
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1335301730069
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1335301730216
error,log,,,"null",1335301741208
error,log,,,"null",1335301742245
error,log,,,"null",1335301742330
error,log,,,"null",1335301742482
error,log,,,"null",1335301742737
error,log,,,"null",1335301742851
error,log,,,"null",1335301742986
error,log,,,"null",1335301743082
error,log,,,"null",1335301743146
error,log,,,"null",1335301743934
error,log,,,"null",1335301744434
error,log,,,"null",1335301744524
error,log,,,"null",1335301744668
error,log,,,"null",1335301744721
error,log,,,"null",1335301744796
error,log,,,"null",1335301744866
error,log,,,"null",1335301745191
error,log,,,"null",1335301745766
error,log,,,"null",1335301745866
error,log,,,"null",1335301746142
error,log,,,"null",1335301746502
error,log,,,"null",1335301746687
error,log,,,"null",1335301747040
error,log,,,"null",1335301747302
error,log,,,"null",1335301747598
error,log,,,"null",1335301747902
error,log,,,"null",1335301748274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1335301752317
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1335301753340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335301761068
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1335301762303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301763553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301763850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301765235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301772591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301782657
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1335301783851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301803342
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301804997
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1335301805019
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1335301806168
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1335301807329
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1335301812634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1335301836285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1335301842655
